id,audio_url,title,artist,album,duration,release_year,cover
d_3voqjDxAg,https://www.youtube.com/watch?v=d_3voqjDxAg,One More Night,Maroon 5,Overexposed,219,2012.0,https://i.ytimg.com/vi_webp/d_3voqjDxAg/maxresdefault.webp
0oOMI91V2rE,https://www.youtube.com/watch?v=0oOMI91V2rE,Tum Mile (Lofi Flip),"Javed Ali, Jay Kava",Tum Mile,186,2022.0,https://i.ytimg.com/vi_webp/0oOMI91V2rE/maxresdefault.webp
iXFTYhpDmB0,https://www.youtube.com/watch?v=iXFTYhpDmB0,Lamberghini,The Doorbeen Ft.Ragini,Lamberghini,217,2018.0,https://i.ytimg.com/vi_webp/iXFTYhpDmB0/maxresdefault.webp
1MEnPxEPuSg,https://www.youtube.com/watch?v=1MEnPxEPuSg,Tara,Deepak Rathore Project,Tara,272,2021.0,https://i.ytimg.com/vi_webp/1MEnPxEPuSg/maxresdefault.webp
vO5EytWUhas,https://www.youtube.com/watch?v=vO5EytWUhas,Hurt People,"Gryffin, Aloe Blacc",Gravity,226,2019.0,https://i.ytimg.com/vi_webp/vO5EytWUhas/maxresdefault.webp
Xx7Efy2WhuA,https://www.youtube.com/watch?v=Xx7Efy2WhuA,Words,"Alesso, Zara Larsson",Words,143,2022.0,https://i.ytimg.com/vi_webp/Xx7Efy2WhuA/maxresdefault.webp
S8gYErP4ZDQ,https://www.youtube.com/watch?v=S8gYErP4ZDQ,Bloom,Troye Sivan,Bloom,222,2018.0,https://i.ytimg.com/vi_webp/S8gYErP4ZDQ/maxresdefault.webp
ibxa_uLEncg,https://www.youtube.com/watch?v=ibxa_uLEncg,Kabhi Na Kabhi,Mitraz,Kabhi Na Kabhi,191,2021.0,https://i.ytimg.com/vi_webp/ibxa_uLEncg/maxresdefault.webp
_9FyH8PmRSU,https://www.youtube.com/watch?v=_9FyH8PmRSU,Maan Meri Jaan,King,Champagne Talk,195,2022.0,https://i.ytimg.com/vi_webp/_9FyH8PmRSU/maxresdefault.webp
4g0QivOeup0,https://www.youtube.com/watch?v=4g0QivOeup0,Khaabon Ke Parinday,Alyssa Mendonca | Mohit Chauhan,Zindagi Na Milegi Dobara,252,2011.0,https://i.ytimg.com/vi_webp/4g0QivOeup0/maxresdefault.webp
ZCRL8V0ZkEA,https://www.youtube.com/watch?v=ZCRL8V0ZkEA,Ishq Bulaava,"Vishal & Shekhar, Sanam Puri, Shipra Goyal",Hasee Toh Phasee (Original Motion Picture Soundtrack),304,2013.0,https://i.ytimg.com/vi_webp/ZCRL8V0ZkEA/maxresdefault.webp
7xzZhyURjdI,https://www.youtube.com/watch?v=7xzZhyURjdI,Sleepless,"AP Dhillon, Amritpal Singh Dhillon, Satinderpal Singh",Sleepless,156,2023.0,https://i.ytimg.com/vi_webp/7xzZhyURjdI/maxresdefault.webp
JCd4KENZyj4,https://www.youtube.com/watch?v=JCd4KENZyj4,Lost,Illenium,Awake,200,2017.0,https://i.ytimg.com/vi_webp/JCd4KENZyj4/maxresdefault.webp
STvBbVtELiA,https://www.youtube.com/watch?v=STvBbVtELiA,Muskurahat,Mitraz,Muskurahat,259,2022.0,https://i.ytimg.com/vi_webp/STvBbVtELiA/maxresdefault.webp
X2grwZdEeN0,https://www.youtube.com/watch?v=X2grwZdEeN0,Rangisari,"Kanishk Seth, Kavita Seth, Kanishk Seth, Kavita Seth, Traditional",Jugjugg Jeeyo,223,2022.0,https://i.ytimg.com/vi_webp/X2grwZdEeN0/maxresdefault.webp
LwEJMxJf4-c,https://www.youtube.com/watch?v=LwEJMxJf4-c,Tum Hi Rangili Tum Hi Nashili Full Songs (Bollywood Holi 3) - Khelenge Holi Fevicol Se,T-Series Regional,,313,,https://i.ytimg.com/vi_webp/LwEJMxJf4-c/maxresdefault.webp
